t,r,v
0.0000,1,0
0.0200,0.9578831846724979,0
0.0400,0.8632475159236547,0
0.0600,0.7228781901210795,0
0.0800,0.5459334105018673,0
0.1000,0.3433640779373198,0
0.1200,0.1272493170488919,0
0.1400,-0.08991253692070778,0
0.1600,-0.2959164840488476,0
0.1800,-0.47952688901839663,0
0.2000,-0.6310801197151715,0
0.2200,-0.7429820745020927,0
0.2400,-0.810075664238246,0
0.2600,-0.8298613086110077,0
0.2800,-0.8025622244865949,0
0.3000,-0.731035217551968,0
0.3200,-0.6205363305771084,0
0.3400,-0.4783585758524151,0
0.3600,-0.3133656658986051,0
0.3800,-0.13545081396858122,0
0.4000,0.045046941925463393,0
0.4200,0.21793497034727344,0
0.4400,0.3737343878126086,0
0.4600,0.5041914024362704,0
0.4800,0.6027055678936148,0
0.5000,0.664653277390941,0
0.5200,0.6875913112559623,0
0.5400,0.6713324044914148,0
0.5600,0.617892202310918,0
0.5800,0.5313142003083776,0
0.6000,0.41738592107419503,0
0.6200,0.28326530380068193,0
0.6400,0.1370407829479409,0
0.6600,-0.012748411389285662,0
0.6800,-0.15760371589126163,0
0.7000,-0.28954257329582644,0
0.7200,-0.40153145208342833,0
0.7400,-0.4878534606853785,0
0.7600,-0.5443917876554676,0
0.7800,-0.5688154472455658,0
0.8000,-0.5606596680557175,0
0.8200,-0.5212993852497229,0
0.8400,-0.4538203335002707,0
0.8600,-0.36279785232480355,0
0.8800,-0.2539984049006255,0
0.9000,-0.13402272209540075,0
0.9200,-0.009912223630125018,0
0.9400,0.11125818265771087,0
0.9600,0.22277770943858943,0
0.9800,0.31866568405909873,0
1.0000,0.3939862987279446,0
1.0200,0.44509591317283126,0
1.0400,0.46981094417269514,0
1.0600,0.46748916583173816,0
1.0800,0.4390223013359393,0
1.1000,0.38674282021449324,0
1.1200,0.3142525832413896,0
1.1400,0.2261851435860131,0
1.1600,0.12791689986938218,0
1.1800,0.02524473645961535,0
1.2000,-0.07595083145305813,0
1.2200,-0.17003771343448362,0
1.2400,-0.2519410180257928,0
1.2600,-0.31741188948108856,0
