t,r,v
0.0000,1,-0.7142857142857143
0.0200,0.9487856212566813,-4.3519060476126015
0.0400,0.8290032914612203,-7.530354794601069
0.0600,0.6521125508198407,-10.030671824959223
0.0800,0.43338718846591473,-11.692451952529769
0.1000,0.19063813389520087,-12.423573344835946
0.1200,-0.05720441674765419,-12.20449004552487
0.1400,-0.2915390534625053,-11.086972800961021
0.1600,-0.4954626873987158,-9.187599119539605
0.1800,-0.6549627644444719,-6.676672307230365
0.2000,-0.7598502171288484,-3.7635633915632702
0.2200,-0.8043735349538926,-0.6796984454499861
0.2400,-0.787480248758307,2.3394569331888904
0.2600,-0.7127195758473626,5.07204022954669
0.2800,-0.587806862815102,7.32576504636874
0.3000,-0.423894815635182,8.951100366886438
0.3200,-0.23461660744652535,9.850781381188723
0.3400,-0.03498046913703769,9.985082397180683
0.3600,0.15979657322159901,9.372618446981527
0.3800,0.3354269043145575,8.086783071754107
0.4000,0.4795789646588164,6.248249921975733
0.4200,0.5827202373375701,4.014242237174226
0.4400,0.6387208153777327,1.5654880680798497
0.4600,0.645181657186583,-0.908083267649788
0.4800,0.6034734299901331,-3.221793925844398
0.5000,0.5184938670884331,-5.209740268257284
0.5200,0.39817217903946633,-6.736415784053832
0.5400,0.25276678298853933,-7.705641754134164
0.5600,0.09401623959503498,-8.06624281080931
0.5800,-0.06578804566821764,-7.814167378630038
0.6000,-0.2147355493045064,-6.991028283741434
0.6200,-0.34216718207341074,-5.679305672291987
0.6400,-0.43942035720715816,-3.9946932754087574
0.6600,-0.5003979143159469,-2.0762632967916943
0.6800,-0.5219252161966177,-0.07526201821339143
0.7000,-0.5038768044374163,1.8565804005947737
0.7200,-0.44907181353022646,3.5783393661187857
0.7400,-0.3629545510140337,4.969960866695179
0.7600,-0.25309199732463245,5.940400113678625
0.7800,-0.12853239306248262,6.433301186146254
0.8000,0.0009222493394789722,6.429887621925737
0.8200,0.12547245217450767,5.948953413977799
0.8400,0.236049138010188,5.0440633987245755
0.8600,0.3249600467328403,3.798275253631253
0.8800,0.38640972720417954,2.316867766888479
0.9000,0.41685919839818614,0.7186900421994618
0.9200,0.4152045517034055,-0.8731742150954669
0.9400,0.38276799047335375,-2.3407082353641564
0.9600,0.32310897908376446,-3.5795398517727754
0.9800,0.24167625042513327,-4.506185140859908
1.0000,0.14533246758776625,-5.063469772415769
1.0200,0.041791607690431415,-5.223793414155011
1.0400,-0.060985877492130615,-4.990075268084443
1.0600,-0.15539361594051018,-4.3943971228546435
1.0800,-0.23473113235622525,-3.494530735772791
1.1000,-0.2936677562628521,-2.3686865433841766
1.1200,-0.32858744348228613,-1.1089402402443047
1.1400,-0.33779334433068964,0.18612507369357298
1.1600,-0.3215621613852081,1.4189852911105787
1.1800,-0.2820498701076781,2.500380375778638
1.2000,-0.22306135844133781,3.3556363852669886
1.2200,-0.1497061813110231,3.929667790130354
1.2400,-0.06797025682684385,4.190337788287228
1.2600,0.015761538901315097,4.129988330577372
1.2800,0.09519457976042191,3.7650945711890205
1.3000,0.16458871841695122,3.134139476623477
1.3200,0.2191639834923643,2.293932967239981
1.3400,0.2554197941836071,1.3147071325243265
1.3600,0.27134720993106193,0.27439759623380233
1.3800,0.2665224438376769,-0.747433753945518
1.4000,0.24207912866893394,-1.675569821211256
1.4200,0.2005659250101663,-2.4445635432486634
1.4400,0.14570433242492015,-3.003234696480809
1.4600,0.08206842279526981,-3.3179388960310994
1.4800,0.01471320373844125,-3.3744118177892632
1.5000,-0.05121886166419715,-3.1781048676555326
1.5200,-0.11088313290501875,-2.753043716322462
1.5400,-0.16008155364262175,-2.1393496741285576
1.5600,-0.19555035299382698,-1.3896579833532317
1.5800,-0.21516759543653607,-0.5647403042555845
1.6000,-0.21806815550010356,0.2713136905482344
1.6200,-0.20466103453295162,1.0559812051163913
1.6400,-0.1765513812867243,1.7328923320660634
1.6600,-0.136376568966389,2.2557876775003227
1.6800,-0.08757171638487483,2.5915770785029064
1.7000,-0.03408470732573607,2.7223057742276238
1.7200,0.019936235370475487,2.6459227857021426
1.7400,0.07045818699431863,2.3758391696751495
1.7600,0.11385880216625664,1.9393541675630008
1.7800,0.14718006532226582,1.375108455095036
1.8000,0.16832321190357905,0.7297900233675864
1.8200,0.17617253804717958,0.054365315789975395
1.8400,0.1706415579512332,-0.5998666721430013
1.8600,0.15264098088064995,-1.1850975931929204
1.8800,0.1239738071795094,-1.6604308236401517
1.9000,0.08716805870245785,-1.994661298637431
1.9200,0.04526189912728299,-2.16823156014096
1.9400,0.0015588851502801291,-2.1742494847375253
1.9600,-0.040627354324082085,-2.018527140875049
1.9800,-0.07821964940593731,-1.718674455820471
2.0000,-0.10859704547687195,-1.3023503285420512
2.0200,-0.12977245996218262,-0.8048325802662706
2.0400,-0.14051661495134538,-0.2661127060449521
2.0600,-0.14042104618425166,0.27225100288445436
2.0800,-0.1298977836155351,0.7702791718599329
2.1000,-0.11011809299381098,1.1924822529833699
2.1200,-0.08289710552244217,1.5103291653054631
2.1400,-0.05053492737259882,1.7041068020645942
2.1600,-0.015627658072328642,1.764055025213435
2.1800,0.019136519523855672,1.6907198984866865
2.2000,0.051180472434116886,1.4945281224882407
2.2200,0.07822541306181657,1.1946433780596786
2.2400,0.0984490352942638,0.8172163603239708
2.2600,0.11060383323424981,0.3931811500975669
2.2800,0.11408830060890658,-0.044221432323723664
2.3000,0.10896748196140814,-0.4619993129231357
2.3200,0.09594324099102573,-0.8298507082888121
2.3400,0.07627833305099692,-1.122314613299083
2.3600,0.05168164782520911,-1.3204813546267629
2.3800,0.024164597535557605,-1.4131525747983071
2.4000,-0.004119603137092338,-1.3973850438439739
2.4200,-0.031041187128238185,-1.278400918997053
2.4400,-0.05465117013444444,-1.0688947859307398
2.4600,-0.07331937876081285,-0.787811492332654
2.4800,-0.08584363940076695,-0.4587053323742921
2.5000,-0.09152309400958493,-0.1078181101949512
2.5200,-0.09019153654617575,0.23797064375891502
2.5400,-0.0822097871397238,0.5531642582176017
2.5600,-0.06841920066468396,0.8154912986905388
2.5800,-0.050061215237907804,1.0074395321964573
2.6000,-0.0286701856458223,1.1173790487306312
2.6200,-0.0059484606092072454,1.1402064552304279
2.6400,0.016366352849878467,1.0774801785912507
2.6600,0.03663178573083836,0.9370558368820798
2.6800,0.05341896488349282,0.7322674409720265
2.7000,0.06561077860688846,0.4807322175460194
2.7200,0.07247321576601869,0.20288189803136025
2.7400,0.07369558109087956,-0.07966020427219578
2.7600,0.06939776190625262,-0.3457300082719151
2.7800,0.0601052373110874,-0.5761776967218804
2.8000,0.046694891284546416,-0.755215027005346
2.8200,0.03031674567898484,-0.8714625949043372
2.8400,0.012298326753494562,-0.9186304633298427
2.8600,-0.005960581816621734,-0.8957952911693574
2.8800,-0.023094621992501535,-0.8072684487751682
2.9000,-0.0378730018244575,-0.6620801963883268
2.9200,-0.04928589871607579,-0.47313258604021585
2.9400,-0.05661122014876564,-0.25609638935785417
2.9600,-0.05945749627528024,-0.028143555882228496
2.9800,-0.057780609701464244,0.19338449403582933
3.0000,-0.0518740970165492,0.3922714181054516
3.0200,-0.04233472978705914,0.5545885644606249
3.0400,-0.0300068553159642,0.6696442107872946
3.0600,-0.015910425301897867,0.7306568862066805
3.0800,-0.0011586681913901135,0.7351130649957195
3.1000,0.01312809214389833,0.6847944513058258
3.1200,0.02590592541377117,0.5854851708328882
3.1400,0.03628199014227625,0.4463925783361459
3.1600,0.04357521484702405,0.2793354048912705
3.1800,0.047358980937640904,0.0977682451554216
3.2000,0.047483308954815104,-0.08427903508099914
3.2200,0.04407566570821273,-0.25326500604055074
3.2400,0.037521130995871364,-0.3971243613093329
3.2600,0.028424168279534052,-0.506109054237364
3.2800,0.017555526410607144,-0.5734258736355914
3.3000,0.005788772291733494,-0.5956307003146339
3.3200,-0.005968443467161794,-0.572759246347498
3.3400,-0.01684308517012991,-0.5081944090059523
3.3600,-0.02606029294884103,-0.4082899321322058
3.3800,-0.0329972762320841,-0.2817874349137749
3.4000,-0.037223897400246515,-0.13907783344038488
3.4200,-0.03852742804673246,0.008632166312743357
3.4400,-0.03692023006298857,0.15018304032531868
3.4600,-0.03263042881621223,0.27528967610852084
3.4800,-0.02607690661876191,0.3752727439532883
3.5000,-0.017831059848657353,0.4436434603868832
3.5200,-0.008568655076324703,0.4765037810299172
3.5400,0.0009842695419268394,0.47273918913188634
3.5600,0.010107216409367618,0.4339975062012914
3.5800,0.018138544122402258,0.3644632921909234
3.6000,0.024522419267672037,0.2704522300508702
3.6200,0.028846154268105256,0.1598623507372306
3.6400,0.030865516753424367,0.04152821265698849
3.6600,0.030516579670723427,-0.07547036402265778
3.6800,0.027913734628760865,-0.18249195944677316
3.7000,0.023334532944517233,-0.2719591103110022
3.7200,0.017192972550804285,-0.3378814610467939
3.7400,0.010003646781835143,-0.3762414728062238
3.7600,0.0023397596315366557,-0.3852191719312754
3.7800,-0.005211644527912011,-0.3652452551975891
3.8000,-0.012093806922290656,-0.31888501881057485
3.8200,-0.01782048218975969,-0.2505680533366604
3.8400,-0.022009425305923463,-0.16618954594218938
3.8600,-0.024406901836499777,-0.07261760370799472
3.8800,-0.02490173609248777,0.022853292496684476
3.9000,-0.023528244435875183,0.11306009070937288
3.9200,-0.02045825104167948,0.19149836991962266
3.9400,-0.01598318706797671,0.2527809210588765
3.9600,-0.010487973454001528,0.2929962043835878
3.9800,-0.004418934410933179,0.3099437952586717
4.0000,0.001751651838073501,0.3032339233485951
4.0200,0.007561606079015335,0.27424878783585166
4.0400,0.012592804114246752,0.22597368590793643
4.0600,0.01650059164926893,0.16271536251490362
