method,dt,mse
verlet,10e-6,0.00000000000481373733657892
verlet,10e-5,0.0000000004813975409621846
verlet,10e-4,0.000000048215752862997493
verlet,10e-3,0.000004897982028031036
verlet,10e-2,0.0005714754087369647
gear,10e-6,0.000000000000000000006783811611228047
gear,10e-5,0.000000000000000015037262166084688
gear,10e-4,0.00000000000015025421113756833
gear,10e-3,0.0000000015027461587853095
gear,10e-2,0.000016964215804883287
beeman,10e-6,0.000000000009772793922759887
beeman,10e-5,0.0000000009774681478354362
beeman,10e-4,0.00000009793867479892113
beeman,10e-3,0.00000999195222539625
beeman,10e-2,0.0012767609565791486
