t,r,v
0.0000,1,-0.7142857142857143
0.0200,0.9578831454848927,-3.4640736292779195
0.0400,0.8632473672681378,-5.942326884333937
0.0600,0.7228778792335425,-8.017608802146636
0.0800,0.5459329080937803,-9.584915971527774
0.1000,0.3433633816742059,-10.570683039556883
0.1200,0.12724845249847827,-10.936021755378334
0.1400,-0.08991351798975007,-10.67792452837807
0.1600,-0.2959175076566336,-9.82842241201154
0.1800,-0.479527865133902,-8.451802289921595
0.2000,-0.6310809499882928,-6.6400939639499335
0.2200,-0.742982660852522,-4.5071289483944454
0.2400,-0.8100759179796679,-2.1815441839101446
0.2600,-0.8298611587783672,0.20084718471702345
0.2800,-0.8025616247972666,2.504872535169511
0.3000,-0.7310341522524025,4.603560382343552
0.3200,-0.6205348178089338,6.3850282281952
0.3400,-0.47835666865078735,7.758330457241502
0.3600,-0.3133634502716501,8.657967567826663
0.3800,-0.13544840472858552,9.046841780407933
0.4000,0.045049407825626844,8.917536991805836
0.4200,0.21793734236314205,8.291898513895779
0.4400,0.37373651162994354,7.218984071521994
0.4600,0.5041931304450653,5.771546808419625
0.4800,0.602706769579959,4.041288834355505
0.5000,0.6646538489814163,2.1331860601270236
0.5200,0.6875911837835275,0.15922867629969417
0.5400,0.6713315498688797,-1.768055339468333
0.5600,0.6178906368044462,-3.5419244025503005
0.5800,0.5313119851928241,-5.067245000878184
0.6000,0.41738316058049135,-6.26549851925895
0.6200,0.2832621398337282,-7.078715536013025
0.6400,0.13703738735512347,-7.472147133189
0.6600,-0.01275184667731191,-7.435559112404893
0.6800,-0.15760699021591673,-6.983115271405604
0.7000,-0.2895454894869195,-6.15189607031108
0.7200,-0.40153382877958665,-4.999174156888886
0.7400,-0.48785514379302336,-3.598634528617639
0.7600,-0.5443926605131572,-2.0357809810689353
0.7800,-0.568815438554547,-0.4028093024133206
0.8000,-0.5606587574128958,1.206750329330042
0.8200,-0.5212976054120899,2.7033148652932937
0.8400,-0.4538177693275466,4.0061597846585695
0.8600,-0.3627946366955885,5.047695564336374
0.8800,-0.2539947115730405,5.776887186115243
0.9000,-0.1340187559402195,6.16164921636575
0.9200,-0.009908208925508142,6.190110964100423
0.9400,0.1112620153102482,5.87071264774447
0.9600,0.22278113672824154,5.231160070076624
0.9800,0.3186685033213668,4.316328599124342
1.0000,0.39398834015150297,3.185263533517224
1.0200,0.4450970502372306,1.9074705194244146
1.0400,0.46981110155671785,0.5587239516324782
1.0600,0.46748832436637194,-0.7833579908356203
1.0800,0.43902049964290984,-2.0437170853704334
1.1000,0.38674015306034115,-3.153991191218175
1.1200,0.31424919627479764,-4.056158516646535
1.1400,0.22618122516410347,-4.705499395532553
1.1600,0.1279126703634388,-5.072728904403911
1.1800,0.02524043560269162,-5.1452040157277255
1.2000,-0.07595495842509895,-4.927163693893566
1.2200,-0.17004143004833913,-4.439015711454886
1.2400,-0.251944110348472,-3.7157370253448896
1.2600,-0.3174141787312364,-2.8045023702794047
1.2800,-0.36324381218376617,-1.7616957422583734
1.3000,-0.3874167150879666,-0.6494897574205183
1.3200,-0.3891876040067633,0.46780321349970677
1.3400,-0.36908819237578416,1.5273970812301751
1.3600,-0.328861409917358,2.4715092607485722
1.3800,-0.2713295659006896,3.250459390480298
1.4000,-0.2002057088100061,3.8252265502497496
1.4200,-0.11986035883982706,4.169336762581411
1.4400,-0.035057948638952376,4.269993893694229
1.4600,0.04932139754592418,4.128411825829459
1.4800,0.12855873449090535,3.7593517730610815
1.5000,0.19835633122530869,3.1899130860518765
1.5200,0.2550667656213142,2.457666338856468
1.5400,0.29587910553962926,1.6082519466165124
1.5600,0.31895294673188934,0.692593959683574
1.5800,0.3234942610210919,-0.23610391272632647
1.6000,0.3097704411526232,-1.1254054632092725
1.6200,0.279065411779042,-1.9265602733964382
1.6400,0.23357901165264802,-2.597133162723919
1.6600,0.17627785710703014,-3.10320553544019
1.6800,0.1107074162563357,-3.4210371475940082
1.7000,0.040776922139376,-3.5381104777944263
1.7200,-0.02947005098267342,-3.453516414684069
1.7400,-0.09608608094724075,-3.1776782568049278
1.7600,-0.15543850787679633,-2.7314481129137036
1.7800,-0.20440423903344604,-2.1446440409411682
1.8000,-0.24053049690034847,-1.4541257112726802
1.8200,-0.2621534571781783,-0.7015294658241356
1.8400,-0.26846931112842515,0.069200640495648
1.8600,-0.2595551081693751,0.8143416233841183
1.8800,-0.23633962468176864,1.4928367433469925
1.9000,-0.20052730007223224,2.0685223218741555
1.9200,-0.15448082634055813,2.5120174907272697
1.9400,-0.10107013894058521,2.8021804174341303
1.9600,-0.04349722172529831,2.9270615913706832
1.9800,0.014892770299812811,2.884314872624375
2.0000,0.0708030950469028,2.6810585247658003
2.0200,0.12116889678154286,2.3332095389974605
2.0400,0.16332251054333097,1.8643433832704615
