white_y,run,final_time,final_ball_amount
42.0,0,7.2904,12
42.0,0,16.7529,8
42.0,0,25.9084,4
42.0,0,133.247,0
42.0,1,16.5629,12
42.0,1,30.367600000000003,8
42.0,1,37.688300000000005,4
42.0,1,101.7891,0
42.0,2,12.7284,12
42.0,2,29.0335,8
42.0,2,69.9456,4
42.0,2,141.6645,0
42.0,3,12.5665,12
42.0,3,27.3713,8
42.0,3,67.6457,4
42.0,3,330.1544,0
42.0,4,16.6327,12
42.0,4,36.7904,8
42.0,4,78.748,4
42.0,4,272.8874,0
42.0,5,18.6189,12
42.0,5,27.7271,8
42.0,5,47.0985,4
42.0,5,307.7507,0
42.0,6,13.1081,12
42.0,6,41.1663,8
42.0,6,115.6795,4
42.0,6,181.6375,0
42.0,7,10.7712,12
42.0,7,37.4254,8
42.0,7,102.0196,4
42.0,7,290.14660000000003,0
42.0,8,19.2935,12
42.0,8,29.2864,8
42.0,8,57.633500000000005,4
42.0,8,624.1769,0
42.0,9,9.894,12
42.0,9,38.6604,8
42.0,9,95.7016,4
42.0,9,351.9477,0
42.0,10,13.6378,12
42.0,10,26.9112,8
42.0,10,64.37610000000001,4
42.0,10,811.1785,0
42.0,11,13.5616,12
42.0,11,39.7805,8
42.0,11,128.5132,4
42.0,11,507.2085,0
42.73684210526316,0,13.684,12
42.73684210526316,0,45.4673,8
42.73684210526316,0,92.9394,4
42.73684210526316,0,267.86580000000004,0
42.73684210526316,1,21.3362,12
42.73684210526316,1,63.1107,8
42.73684210526316,1,134.49790000000002,4
42.73684210526316,1,276.9595,0
42.73684210526316,2,24.2874,12
42.73684210526316,2,72.0665,8
42.73684210526316,2,112.7031,4
42.73684210526316,2,651.1219,0
42.73684210526316,3,18.6087,12
42.73684210526316,3,78.4256,8
42.73684210526316,3,140.9779,4
42.73684210526316,3,336.46270000000004,0
42.73684210526316,4,22.7619,12
42.73684210526316,4,67.7505,8
42.73684210526316,4,226.5947,4
42.73684210526316,4,480.2321,0
42.73684210526316,5,30.7165,12
42.73684210526316,5,79.89110000000001,8
42.73684210526316,5,126.1461,4
42.73684210526316,5,690.7046,0
42.73684210526316,6,20.1647,12
42.73684210526316,6,60.9347,8
42.73684210526316,6,125.1307,4
42.73684210526316,6,478.0803,0
42.73684210526316,7,16.227800000000002,12
42.73684210526316,7,101.4171,8
42.73684210526316,7,211.5577,4
42.73684210526316,7,506.7775,0
42.73684210526316,8,11.0739,12
42.73684210526316,8,74.434,8
42.73684210526316,8,167.8497,4
42.73684210526316,8,731.1586,0
42.73684210526316,9,32.7004,12
42.73684210526316,9,80.86890000000001,8
42.73684210526316,9,129.939,4
42.73684210526316,9,1310.9051000000002,0
42.73684210526316,10,20.0515,12
42.73684210526316,10,48.594,8
42.73684210526316,10,207.0882,4
42.73684210526316,10,1711.4713000000002,0
42.73684210526316,11,12.8491,12
42.73684210526316,11,33.088300000000004,8
42.73684210526316,11,84.0479,4
43.473684210526315,0,11.6302,12
43.473684210526315,0,19.2283,8
43.473684210526315,0,40.1307,4
43.473684210526315,0,102.2668,0
43.473684210526315,1,13.3061,12
43.473684210526315,1,20.783900000000003,8
43.473684210526315,1,48.4046,4
43.473684210526315,1,110.2826,0
43.473684210526315,2,12.1018,12
43.473684210526315,2,28.508000000000003,8
43.473684210526315,2,37.8202,4
43.473684210526315,2,142.7134,0
43.473684210526315,3,9.9448,12
43.473684210526315,3,29.143700000000003,8
43.473684210526315,3,47.3936,4
43.473684210526315,3,186.7413,0
